E (keV),linear attenuation coeff,P(xi) (d=100 um),P(xi) (d=150 um),P(xi) (d=200 um),P(xi) (d=250 um),P(xi) (d=300 um)
2.63,31700,3.1154E-138,5.4987E-207,9.7054E-276,0,0
2.65,31300,1.4497E-136,1.7455E-204,2.1017E-272,0,0
2.66,30900,6.5012E-135,5.2419E-202,4.2266E-269,0,0
2.67,30500,2.7749E-133,1.4617E-199,7.7001E-266,0,0
2.68,30200,1.1414E-131,3.8561E-197,1.3028E-262,0,0
2.7,29800,4.4681E-130,9.4446E-195,1.9964E-259,5.0000E-324,0
2.71,29400,1.6857E-128,2.1887E-192,2.8416E-256,3.6897E-320,0
2.72,29300,6.9971E-128,1.8509E-191,4.8959E-255,1.2951E-318,0
2.73,29100,5.9139E-127,4.5479E-190,3.4974E-253,2.6896E-316,0
2.74,28700,1.9688E-125,8.736E-188,3.8763E-250,1.7200E-312,0
2.74,28700,2.811E-125,1.4904E-187,7.9017E-250,4.1894E-312,0
2.75,32900,9.0617E-144,2.7278E-215,8.2114E-287,0,0
2.75,32700,6.5861E-143,5.345E-214,4.3377E-285,0,0
2.77,32400,2.7904E-141,1.474E-211,7.7865E-282,0,0
2.78,32000,1.1393E-139,3.8456E-209,1.298E-278,0,0
2.79,31600,4.4262E-138,9.3121E-207,1.9591E-275,0,0
2.81,31300,1.6569E-136,2.1328E-204,2.7455E-272,0,0
2.82,30900,5.9774E-135,4.6214E-202,3.5729E-269,0,0
2.84,30600,2.0778E-133,9.4713E-200,4.3173E-266,0,0
2.85,30200,6.8732E-132,1.8019E-197,4.7241E-263,0,0
2.86,29900,2.1908E-130,3.2427E-195,4.7996E-260,0,0
2.88,29500,7.1669E-129,6.0674E-193,5.1365E-257,4.3500E-321,0
2.89,29200,2.2881E-127,1.0945E-190,5.2352E-254,2.5042E-317,0
2.9,28900,3.2321E-126,5.8106E-189,1.0446E-251,1.8780E-314,0
2.91,28800,6.9173E-126,1.8193E-188,4.7849E-251,1.2585E-313,0
2.92,28500,1.9817E-124,2.7897E-186,3.9271E-248,5.5283E-310,0
2.94,28200,5.5393E-123,4.1227E-184,3.0684E-245,2.2837E-306,0
2.95,27800,1.4734E-121,5.6558E-182,2.171E-242,8.3335E-303,0
2.97,27500,3.8241E-120,7.478E-180,1.4623E-239,2.8596E-299,0
2.98,27200,9.5623E-119,9.3507E-178,9.1437E-237,8.9414E-296,0
3,26900,2.3631E-117,1.1487E-175,5.584E-234,2.7145E-292,0
3.01,26500,6.7983E-116,1.7726E-173,4.6217E-231,1.205E-288,0
3.03,26200,1.9574E-114,2.7385E-171,3.8313E-228,5.3602E-285,0
3.04,25900,5.4299E-113,4.0011E-169,2.9484E-225,2.1726E-281,0
3.06,25500,1.4698E-111,5.6351E-167,2.1604E-222,8.2826E-278,0
3.07,25200,3.7858E-110,7.3661E-165,1.4332E-219,2.7887E-274,0
3.09,24900,9.3959E-109,9.1077E-163,8.8283E-217,8.5575E-271,0
3.1,24600,2.2472E-107,1.0653E-160,5.0501E-214,2.394E-267,1.1350E-320
3.11,24500,3.6415E-107,2.1975E-160,1.3261E-213,8.0022E-267,4.8290E-320
3.12,24200,5.0704E-106,1.1417E-158,2.5709E-211,5.789E-264,1.3035E-316
3.13,23900,1.098E-104,1.1505E-156,1.2055E-208,1.2632E-260,1.3236E-312
3.14,23800,6.6549E-104,1.7168E-155,4.4287E-207,1.1425E-258,2.9473E-310
3.15,25100,7.8011E-110,2.1789E-164,6.0857E-219,1.6997E-273,0
3.15,25100,1.408E-109,5.2833E-164,1.9825E-218,7.439E-273,0
3.17,24800,1.8708E-108,2.5589E-162,3.5001E-216,4.7873E-270,5.0000E-324
3.18,24500,4.3232E-107,2.8426E-160,1.869E-213,1.2289E-266,8.0804E-320
3.2,24200,9.6255E-106,2.9863E-158,9.2651E-211,2.8745E-263,8.9182E-316
3.21,23900,2.0648E-104,2.9671E-156,4.2635E-208,6.1265E-260,8.8035E-312
3.23,23600,4.3213E-103,2.8407E-154,1.8674E-205,1.2276E-256,8.0696E-308
3.25,23300,8.6053E-102,2.5244E-152,7.4051E-203,2.1723E-253,6.3723E-304
3.26,23000,1.651E-100,2.1215E-150,2.726E-200,3.5027E-250,4.5007E-300
3.28,22700,3.0524E-99,1.6864E-148,9.3171E-198,5.1475E-247,2.8439E-296
3.29,22400,5.5055E-98,1.2918E-146,3.031E-195,7.1119E-244,1.6687E-292
3.31,22100,9.3302E-97,9.0123E-145,8.7052E-193,8.4086E-241,8.1221E-289
3.32,22000,4.0909E-96,8.2743E-144,1.6736E-191,3.3849E-239,6.8464E-287
3.33,21800,1.4832E-95,5.712E-143,2.1998E-190,8.4719E-238,3.2627E-285
3.34,21600,2.2076E-94,3.28E-141,4.8734E-188,7.2409E-235,1.0759E-281
3.36,21300,3.2053E-93,1.8147E-139,1.0274E-185,5.8167E-232,3.2932E-278
3.38,21000,4.4841E-92,9.4953E-138,2.0107E-183,4.2577E-229,9.016E-275
3.39,20800,6.1193E-91,4.7869E-136,3.7446E-181,2.9292E-226,2.2914E-271
3.41,20500,7.9443E-90,2.2392E-134,6.3112E-179,1.7789E-223,5.0139E-268
3.42,20400,2.1301E-89,9.8311E-134,4.5374E-178,2.0941E-222,9.6651E-267
3.43,21100,1.9976E-92,2.8233E-138,3.9903E-184,5.6396E-230,7.9708E-276
3.43,21100,3.5178E-92,6.5978E-138,1.2375E-183,2.321E-229,4.3532E-275
3.45,20900,2.5637E-91,1.2981E-136,6.5725E-182,3.3278E-227,1.685E-272
3.46,20600,3.2096E-90,5.7502E-135,1.0302E-179,1.8456E-224,3.3065E-269
3.48,20400,3.9207E-89,2.455E-133,1.5372E-177,9.6253E-222,6.0269E-266
3.5,20100,4.614E-88,9.9109E-132,2.1289E-175,4.5728E-219,9.8225E-263
3.51,19900,5.2305E-87,3.7828E-130,2.7358E-173,1.9786E-216,1.431E-259
3.53,19600,5.7853E-86,1.3915E-128,3.347E-171,8.0503E-214,1.9363E-256
3.55,19400,5.0416E-85,3.5798E-127,2.5418E-169,1.8048E-211,1.2815E-253
3.55,19400,6.2297E-85,4.917E-127,3.881E-169,3.0632E-211,2.4177E-253
3.57,19200,6.3214E-84,1.5894E-125,3.9961E-167,1.0047E-208,2.5261E-250
3.59,18900,6.4177E-83,5.1413E-124,4.1187E-165,3.2995E-206,2.6433E-247
3.6,18700,6.3552E-82,1.6021E-122,4.0389E-163,1.0182E-203,2.5668E-244
3.62,18500,6.1398E-81,4.811E-121,3.7697E-161,2.9538E-201,2.3145E-241
