E (keV),a (cm^2/g),rho (g/cm^3),a*rho (1/cm),d (cm),P(xi) (d=1000 um),P(xi) (d=2000 um),P(xi) (d=3000 um)
3.18E+01,1.86E+01,,1.6088E+02,,1.0302E-07,1.0614E-14,1.0935E-21
3.20E+01,3.45E+01,,2.9746E+02,,1.2064E-13,1.4554E-26,1.7557E-39
3.21E+01,3.41E+01,,2.9460E+02,,1.6052E-13,2.5767E-26,4.1360E-39
3.25E+01,3.32E+01,,2.8637E+02,,3.6557E-13,1.3364E-25,4.8854E-38
3.43E+01,2.87E+01,,2.4747E+02,,1.7888E-11,3.1998E-22,5.7237E-33
3.67E+01,2.40E+01,,2.0755E+02,,9.6914E-10,9.3923E-19,9.1024E-28
3.92E+01,2.02E+01,,1.7397E+02,,2.7833E-08,7.7466E-16,2.1561E-23
4.19E+01,1.69E+01,,1.4577E+02,,4.6690E-07,2.1799E-13,1.0178E-19
4.48E+01,1.41E+01,,1.2195E+02,,5.0579E-06,2.5583E-11,1.2940E-16
4.79E+01,1.18E+01,,1.0202E+02,,3.7097E-05,1.3762E-09,5.1052E-14
5.12E+01,9.89E+00,,8.5361E+01,,1.9625E-04,3.8514E-08,7.5585E-12
5.47E+01,8.27E+00,,7.1397E+01,,7.9301E-04,6.2886E-07,4.9869E-10
5.85E+01,6.91E+00,,5.9670E+01,,2.5620E-03,6.5637E-06,1.6816E-08
6.25E+01,5.78E+00,,4.9903E+01,,6.8039E-03,4.6292E-05,3.1497E-07
6.68E+01,4.83E+00,,4.1699E+01,,1.5454E-02,2.3883E-04,3.6910E-06
7.15E+01,4.04E+00,,3.4857E+01,,3.0632E-02,9.3833E-04,2.8743E-05
7.64E+01,3.38E+00,,2.9169E+01,,5.4099E-02,2.9267E-03,1.5833E-04
8.17E+01,2.83E+00,,2.4405E+01,,8.7118E-02,7.5895E-03,6.6118E-04
8.73E+01,2.36E+00,,2.0385E+01,,1.3023E-01,1.6960E-02,2.2087E-03
9.33E+01,1.98E+00,,1.7056E+01,,1.8167E-01,3.3004E-02,5.9959E-03
9.98E+01,1.66E+00,,1.4299E+01,,2.3934E-01,5.7283E-02,1.3710E-02
1.07E+02,1.39E+00,,1.2014E+01,,3.0079E-01,9.0473E-02,2.7213E-02
1.14E+02,1.17E+00,,1.0120E+01,,3.6351E-01,1.3214E-01,4.8033E-02
1.22E+02,9.90E-01,,8.5467E+00,,4.2542E-01,1.8098E-01,7.6995E-02
1.30E+02,8.39E-01,,7.2412E+00,,4.8475E-01,2.3498E-01,1.1391E-01
1.39E+02,7.13E-01,,6.1573E+00,,5.4025E-01,2.9187E-01,1.5768E-01
1.49E+02,6.09E-01,,5.2567E+00,,5.9116E-01,3.4947E-01,2.0659E-01
1.59E+02,5.22E-01,,4.5077E+00,,6.3714E-01,4.0594E-01,2.5864E-01
1.70E+02,4.50E-01,,3.8840E+00,,6.7814E-01,4.5988E-01,3.1186E-01
1.82E+02,3.90E-01,,3.3640E+00,,7.1434E-01,5.1028E-01,3.6451E-01
1.94E+02,3.39E-01,,2.9298E+00,,7.4604E-01,5.5658E-01,4.1523E-01
2.08E+02,2.97E-01,,2.5665E+00,,7.7364E-01,5.9851E-01,4.6303E-01
2.22E+02,2.62E-01,,2.2622E+00,,7.9754E-01,6.3608E-01,5.0730E-01
2.37E+02,2.32E-01,,2.0064E+00,,8.1821E-01,6.6946E-01,5.4776E-01
2.54E+02,2.08E-01,,1.7910E+00,,8.3602E-01,6.9893E-01,5.8432E-01
2.71E+02,1.86E-01,,1.6090E+00,,8.5138E-01,7.2484E-01,6.1712E-01
2.90E+02,1.69E-01,,1.4547E+00,,8.6462E-01,7.4757E-01,6.4636E-01
3.10E+02,1.53E-01,,1.3233E+00,,8.7605E-01,7.6747E-01,6.7235E-01
3.32E+02,1.40E-01,,1.2109E+00,,8.8595E-01,7.8491E-01,6.9540E-01
3.54E+02,1.29E-01,,1.1144E+00,,8.9455E-01,8.0022E-01,7.1583E-01
3.79E+02,1.19E-01,,1.0309E+00,,9.0204E-01,8.1368E-01,7.3398E-01
4.05E+02,1.11E-01,,9.5838E-01,,9.0861E-01,8.2557E-01,7.5013E-01
